project,project_root,source,slice_mode,slice_file,entry,mode,epat_mode,returncode,timeout,seconds,summary_ok,has_function_summaries,has_program_summary,entry_seen,worst_mems,weighted_avg_mems,function_count,summary_case_count,call_edge_count,mems,dfs_time,dp_time,reason,notes,original_returncode,original_timeout,original_log,log,cmd
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__hex_digit_to_int__closure.c,hex_digit_to_int,summary,pafi-rs,0,false,0.134150,true,true,true,true,0,0 (equal-weight; volce disabled),1,1,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_hex_digit_to_int_summary_closure.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__hex_digit_to_int__closure.c
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__is_hex_digit__closure.c,is_hex_digit,summary,pafi-rs,0,false,0.130270,true,true,true,true,0,0 (equal-weight; volce disabled),1,1,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_is_hex_digit_summary_closure.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__is_hex_digit__closure.c
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,auto_compat,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsAllocPtr__auto_compat.c,sdsAllocPtr,summary,pafi-rs,0,false,0.141868,true,true,true,true,1,0.5 (equal-weight; volce disabled),1,2,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_sdsAllocPtr_summary_auto_compat.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsAllocPtr__auto_compat.c
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,auto_compat,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsAllocSize__auto_compat.c,sdsAllocSize,summary,pafi-rs,0,false,0.168589,true,true,true,true,1,0.5 (equal-weight; volce disabled),1,2,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_sdsAllocSize_summary_auto_compat.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsAllocSize__auto_compat.c
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsHdrSize__closure.c,sdsHdrSize,summary,pafi-rs,0,false,0.114287,true,true,true,true,0,0 (equal-weight; volce disabled),1,1,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_sdsHdrSize_summary_closure.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsHdrSize__closure.c
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,auto_compat,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsIncrLen__auto_compat.c,sdsIncrLen,summary,pafi-rs,0,false,0.263019,true,true,true,true,1,0.5 (equal-weight; volce disabled),1,4,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_sdsIncrLen_summary_auto_compat.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsIncrLen__auto_compat.c
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,auto_compat,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsMakeRoomFor__auto_compat.c,sdsMakeRoomFor,summary,pafi-rs,0,false,0.325166,true,true,true,true,1,0.5 (equal-weight; volce disabled),1,4,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_sdsMakeRoomFor_summary_auto_compat.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsMakeRoomFor__auto_compat.c
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,auto_compat,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsRemoveFreeSpace__auto_compat.c,sdsRemoveFreeSpace,summary,pafi-rs,0,false,0.240106,true,true,true,true,1,0.5 (equal-weight; volce disabled),1,2,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_sdsRemoveFreeSpace_summary_auto_compat.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsRemoveFreeSpace__auto_compat.c
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,compat_entry,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsReqType__compat_entry.c,sdsReqType,summary,pafi-rs,0,false,0.311073,true,true,true,true,0,0 (equal-weight; volce disabled),1,4,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_sdsReqType_summary_compat_entry.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdsReqType__compat_entry.c
sds,/home/zhangliwei/eppather/testcase/sds,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/sds_sds_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sds_free__closure.c,sds_free,summary,pafi-rs,-11,false,0.369628,false,false,false,false,,,,,,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_181840/sds/sds_sds_sds_flat_sds_free_summary_closure.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sds_free__closure.c
