project,project_root,source,slice_mode,slice_file,entry,mode,epat_mode,returncode,timeout,seconds,summary_ok,has_function_summaries,has_program_summary,entry_seen,worst_mems,weighted_avg_mems,function_count,summary_case_count,call_edge_count,mems,dfs_time,dp_time,reason,notes,original_returncode,original_timeout,original_log,log,cmd
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_find_chars_or_comment__closure.c,ini_find_chars_or_comment,summary,text_fallback,0,false,0.066164,true,true,true,true,48,31 (equal-weight; volce disabled),1,3,0,,,,,external callee omitted=isspace | external callee omitted=strchr,-11,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_find_chars_or_comment_summary_closure.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_find_chars_or_comment_summary_closure_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_find_chars_or_comment__closure.c
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_lskip__closure.c,ini_lskip,summary,text_fallback,0,false,0.127308,true,true,true,true,18,12 (equal-weight; volce disabled),1,3,0,,,,,external callee omitted=isspace,-11,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_lskip_summary_closure.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_lskip_summary_closure_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_lskip__closure.c
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_reader_string__closure.c,ini_reader_string,summary,text_fallback,0,false,0.071779,true,true,true,true,41,25.3333 (equal-weight; volce disabled),1,6,0,,,,,,-11,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_reader_string_summary_closure.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_reader_string_summary_closure_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_reader_string__closure.c
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__closure.c,ini_rstrip,summary,text_fallback,0,false,0.070995,true,true,true,true,22,14 (equal-weight; volce disabled),1,3,0,,,,,external callee omitted=isspace,-11,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_rstrip_summary_closure.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_rstrip_summary_closure_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__closure.c
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_strncpy0__closure.c,ini_strncpy0,summary,text_fallback,0,false,0.062931,true,true,true,true,38,24.3333 (equal-weight; volce disabled),1,3,0,,,,,,0,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_strncpy0_summary_closure.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/inih/inih_inih_ini_flat_ini_strncpy0_summary_closure_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_strncpy0__closure.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_lpop__closure.c,list_lpop,summary,text_fallback,0,false,0.101872,true,true,true,true,1,0.666667 (equal-weight; volce disabled),1,3,0,,,,,,-11,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_lpop_summary_closure.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_lpop_summary_closure_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_lpop__closure.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_lpush__closure.c,list_lpush,summary,text_fallback,0,false,0.066637,true,true,true,true,2,1.66667 (equal-weight; volce disabled),1,3,0,,,,,,-11,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_lpush_summary_closure.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_lpush_summary_closure_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_lpush__closure.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,type_erased,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_remove__type_erased.c,list_remove,summary,text_fallback,0,false,0.068171,true,true,true,true,10,8 (equal-weight; volce disabled),1,2,0,,,,,,0,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_remove_summary_type_erased.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_remove_summary_type_erased_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_remove__type_erased.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_rpop__closure.c,list_rpop,summary,text_fallback,0,false,0.081359,true,true,true,true,1,0.666667 (equal-weight; volce disabled),1,3,0,,,,,,-11,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_rpop_summary_closure.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_rpop_summary_closure_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_rpop__closure.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,closure,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_rpush__closure.c,list_rpush,summary,text_fallback,0,false,0.079609,true,true,true,true,2,1.66667 (equal-weight; volce disabled),1,3,0,,,,,,-11,false,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_rpush_summary_closure.log,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_172730/list/list_list_list_flat_list_rpush_summary_closure_text_fallback.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_rpush__closure.c
